OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu0091,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Unknown_Order,Unknown_Family,Candidatus_Nitrososphaera,
Otu0092,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
Otu0093,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0094,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,
Otu0095,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0096,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0097,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0098,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0099,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0100,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0101,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0102,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0103,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0104,Archaea,Thaumarchaeota,Marine_Benthic_Group_B,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,Marine_Benthic_Group_B_unclassified,
Otu0105,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,AMOS1A-4113-D0,AMOS1A-4113-D04_unclassifie,
Otu0106,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0107,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1_unclassified,
Otu0108,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,
Otu0109,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0110,Archaea,Thaumarchaeota,Group_C3,Group_C3_unclassified,Group_C3_unclassified,Group_C3_unclassified,
Otu0111,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0112,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0113,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0114,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0115,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,
Otu0116,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0117,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0118,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0119,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0120,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Unknown_Order,Unknown_Family,Candidatus_Nitrososphaera,
Otu0121,Archaea,Woesearchaeota_(DHVEG-6),Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,Woesearchaeota_(DHVEG-6)_unclassified,
Otu0122,Archaea,Thaumarchaeota,Soil_Crenarchaeotic_Group(SCG),Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,Soil_Crenarchaeotic_Group(SCG)_unclassified,
Otu0123,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
Otu0124,Archaea,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,
