,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0075,0,2,0,5,0,4,0,0,0,0,4,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,6,1,6,0,0,0,0,0,0,1,0,3,0,0,0
Otu0076,2,13,2,11,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,7,0,0,0,0,0,0,0,0,0,0,0,0
Otu0077,6,41,4,12,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,1,1,0,1,1,0,0,0,0,0,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0
Otu0078,2,2,0,9,0,1,1,0,0,2,4,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,7,0,0,1,0,0,0,0,0,0,0,0,0
Otu0079,3,1,0,32,4,0,0,1,0,4,6,7,6,2,2,0,0,0,2,0,0,0,0,0,0,0,2,3,3,12,7,13,0,0,0,0,0,0,4,3,0,0,2,0
Otu0080,0,1,0,12,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,14,0,0,3,0,0,0,2,0,0,0,4,0
Otu0081,0,4,1,1,0,0,0,0,1,0,4,4,9,0,0,2,0,4,0,0,0,1,0,0,3,0,0,0,0,4,1,13,0,0,3,4,1,0,0,0,3,0,0,3
Otu0082,0,5,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,0,0,0,0,0,0,0,0,0,0,0,0
Otu0083,1,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,15,0,0,0,0,0,0,0,0,0,0,0,0
Otu0084,0,0,0,10,2,0,0,0,0,2,12,10,2,1,7,0,0,0,0,0,0,0,0,0,0,0,10,3,6,1,4,6,0,0,1,1,0,0,0,5,0,2,5,0
Otu0085,0,0,1,1,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,11,0,3,0,0,3,0,0,0,0,0,0,0
Otu0086,0,9,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,22,21,9,0,0,0,0,0,0,0,0,0,0,0,0
Otu0087,0,22,2,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,1,1,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0
Otu0088,4,6,0,10,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,11,11,2,0,0,0,0,0,0,0,0,0,0,0
